dataset,Architecture,Type,Size,Top1 Accuracy,F1-Score,Recall,Precision,Top5 Accuracy,ROC AUC
IMNET1k,DeitIII,B,16,0.85708,0.8555794605757421,0.8570800000000001,0.8599419321711809,0.97748,0.9991236362362361
IMNET1k,DeitIII,L,16,0.86976,0.868302378799759,0.86976,0.8722730461608732,0.98236,0.9992721757757758
IMNET1k,DINO,B,16,0.78064,0.7788734364593658,0.78064,0.7853107128323585,0.9383,0.9985914066066066
IMNET1k,DINO,B,8,0.8006,0.7991367485486824,0.8006000000000001,0.8054031506682432,0.95018,0.9987678314314314
IMNET1k,DINO,S,16,0.76908,0.7669675253476099,0.76908,0.7734347383431728,0.9298,0.9983615465465466
IMNET1k,DINO,S,8,0.79612,0.7944396529202066,0.79612,0.8003654416896181,0.94622,0.998789571971972
IMNET1k,ResNet,Base,18,0.67286,0.6689072923557696,0.67286,0.6790577535645144,0.87748,0.9963281069069069
IMNET1k,ResNet,Base,34,0.71314,0.7101660417978526,0.71314,0.7188432832701992,0.90064,0.9971686654654655
IMNET1k,ResNet,Base,50,0.80116,0.7987009671121982,0.8011600000000001,0.8045961099437007,0.95234,0.9982752718718719
IMNET1k,ViT,B,16,0.80326,0.8020767881020736,0.80326,0.8092235098948991,0.95486,0.9988666596596597
IMNET1k,ViT,L,16,0.81982,0.8189484835621071,0.8198200000000001,0.8247506117285306,0.95998,0.9989526358358357
